time|_no|_EMW|A|B|C|D|E
1433150298|110100|1|0|0|0|0|0
1435059060|110100|1|1|0|0|0|0
1432894713|110100|1|0|0|0|0|0
1478257937|230000|2|0|0|0|0|0
1445414025|230000|2|0|0|1|0|0
1438387314|330000|1|0|0|0|0|0
1518353476|440000|1|0|0|0|0|0
1413291773|140000|2|0|0|0|0|0
1441690610|110100|1|1|0|0|1|0
1509675339|230000|2|0|0|0|0|0
1435721305|110100|1|0|0|0|0|0
1440730398|330000|1|0|0|0|0|0
1472718971|510000|3|0|0|0|0|0
1442374043|130000|1|0|0|0|0|0
1446802794|110100|1|0|1|1|0|0
1448952933|410000|2|0|1|0|0|0
1509949311|110100|1|0|0|0|0|0
1479954024|320000|1|0|0|0|0|0
1456371161|530000|3|0|0|1|1|0
1453101616|630000|3|0|1|0|0|1
1387614831|360000|2|0|0|0|0|0
1456134735|330000|1|0|0|1|0|0
1457067834|510000|3|0|1|0|0|0
1444308541|410000|2|0|0|1|0|0
1481103691|130000|1|0|0|0|0|0
1475890279|620000|3|0|0|0|0|0
1466152917|310000|1|0|0|0|0|0
1440734281|110100|1|1|0|0|0|0
1453284406|530000|3|0|0|1|1|0
1482386719|530000|3|0|0|0|0|0
1449631796|430000|2|1|1|0|0|0
1438243625|110100|1|1|0|0|0|0
1444724876|620000|3|0|1|0|0|0
1461593690|350000|1|1|0|0|0|0
1451906907|110100|1|0|0|0|0|0
1444274120|310000|1|1|0|0|0|0
1461139220|130000|1|0|0|1|0|0
1515830728|440000|1|0|0|0|0|0
1423021201|110100|1|1|0|0|0|0
1380431640|360000|2|0|0|0|0|0
1451462230|510000|3|1|0|0|1|0
1450267722|620000|3|0|0|1|0|0
1477626982|340000|2|0|0|0|0|0
1444989954|620000|3|0|0|0|1|0
1451217168|450000|1|1|0|0|1|0
1455673330|340000|2|0|1|0|0|0
1471835967|370000|1|0|0|0|0|0
1448955194|110100|1|1|0|0|0|0
1450750113|330000|1|1|0|0|0|0
1451034123|340000|2|1|0|1|0|0
1451275642|530000|3|0|1|0|0|0
1450145064|370000|1|1|0|0|0|0
1441501660|370000|1|0|0|0|0|0
1429330013|110100|1|1|0|0|0|0
1459518624|370000|1|0|1|0|0|1
1479711797|130000|1|0|0|0|0|0
1477450235|140000|2|0|0|0|0|0
1488518266|650000|3|0|0|0|0|0
1442299271|110100|1|1|0|0|0|0
1501657111|110100|1|0|0|0|0|0
1492077020|110100|1|0|0|0|0|0
1438162881|230000|2|0|0|0|0|0
1449201167|310000|1|0|1|0|1|0
1476091236|130000|1|0|0|0|0|0
1452567430|110100|1|1|0|0|0|0
1436351234|110100|1|0|0|0|0|1
1440747651|350000|1|1|0|0|0|0
1470815760|370000|1|0|0|0|0|0
1451982291|510000|3|0|0|1|1|0
1460099783|620000|3|0|0|1|0|0
1460611595|420000|2|0|0|1|0|0
1482750696|0|0|0|0|0|0|0
1448935997|450000|1|0|1|0|0|0
1448271521|350000|1|1|0|0|0|0
1452436941|420000|2|0|1|1|0|0
1443493964|110100|1|0|1|0|1|0
1492485032|140000|2|0|0|0|0|0
1449115337|360000|2|0|1|0|1|0
1443166285|620000|3|0|0|1|0|0
1468317410|510000|3|0|1|0|0|0
1472613325|350000|1|0|0|0|0|0
1494229069|230000|2|0|0|0|0|0
1471487105|350000|1|0|0|0|0|0
1444890022|620000|3|0|1|0|1|0
1448951832|440000|1|0|0|0|1|0
1482398512|330000|1|0|0|0|0|0
1448251294|150000|2|0|0|0|0|0
1455600759|640000|3|1|0|0|0|0
1451445116|110100|1|1|0|0|0|0
1472131506|370000|1|0|0|0|0|0
1458216204|340000|2|1|0|0|1|0
1416823036|110100|1|1|0|0|0|0
1447163083|530000|3|1|0|1|0|0
1469419108|620000|3|0|0|0|0|0
1512384817|620000|3|0|0|0|0|0
1422341459|440000|1|0|0|0|0|0
1433396192|350000|1|1|0|0|0|0
1436752540|410000|2|1|0|0|0|0
1436500346|430000|2|0|0|0|0|0
1453985356|110100|1|1|0|0|0|0
1443408890|320000|1|0|0|1|0|0
1437725120|370000|1|0|1|0|0|0
1436233789|440000|1|1|0|0|0|0
1443152407|210000|1|0|0|1|0|0
1464827465|520000|3|1|0|0|1|0
1440560078|530000|3|1|0|0|0|0
1478150491|230000|2|0|0|0|0|0
1413539919|110100|1|0|0|0|0|0
1464237297|610000|3|0|1|1|0|0
1498205713|410000|2|0|0|0|0|0
1441952975|420000|2|0|0|1|0|0
1452511753|310000|1|0|1|0|1|0
1450450424|440000|1|1|0|0|0|0
1504094922|420000|2|0|0|0|0|0
1468314495|130000|1|0|1|0|0|0
1478509954|130000|1|0|0|0|0|0
1450407286|370000|1|0|1|0|0|0
1443519580|370000|1|1|0|0|0|0
1434440147|370000|1|0|0|0|0|0
1460346857|330000|1|1|1|0|0|0
1453984934|440000|1|0|1|0|0|0
1489129501|530000|3|0|0|0|0|0
1445847983|330000|1|0|1|0|1|0
1488857944|440000|1|0|0|0|0|0
1411303346|350000|1|0|0|0|0|0
1438943910|370000|1|0|1|0|0|0
1449115925|450000|1|0|1|1|0|0
1469614283|360000|2|0|0|0|0|0
1439277320|440000|1|0|0|0|0|0
1445582599|310000|1|0|0|0|0|0
1419512803|330000|1|0|0|0|0|0
1481881198|0|0|0|0|0|0|0
1472630262|620000|3|0|0|0|0|0
1461741708|510000|3|0|1|0|0|0
1508281319|410000|2|0|0|0|0|0
1434523274|130000|1|0|0|0|0|0
1415070939|230000|2|0|0|0|0|0
1470960501|610000|3|0|0|0|0|0
1436496638|370000|1|0|0|0|0|0
1479687511|520000|3|0|0|0|0|0
1408966385|320000|1|0|0|0|0|0
1479976349|450000|1|0|0|0|0|0
1447664764|610000|3|0|0|1|0|1
1460764942|110100|1|0|0|0|0|0
1416821328|110100|1|0|0|0|0|0
1441766968|410000|2|0|1|0|0|0
1435197416|350000|1|0|0|0|0|0
1481167877|340000|2|0|0|0|0|0
1415867229|150000|2|0|0|1|0|0
1468572195|220000|2|0|0|0|0|0
1491896161|410000|2|0|0|0|0|0
1430369276|330000|1|0|0|0|0|0
1448350897|620000|3|1|0|1|0|0
1438830913|420000|2|0|0|0|0|0
1444644538|350000|1|1|0|0|0|0
1445913334|530000|3|0|0|0|0|0
1470376195|620000|3|0|0|0|0|0
1441513729|610000|3|0|1|0|0|1
1439793753|430000|2|0|0|1|0|0
1460346610|410000|2|0|1|0|1|0
1477967416|420000|2|0|0|0|0|0
1445583279|370000|1|0|1|0|0|0
1504159062|320000|1|0|0|0|0|0
1448961445|230000|2|0|0|1|0|0
1449464394|230000|2|0|0|0|1|0
1501470526|140000|2|0|0|0|0|0
1458127777|360000|2|1|0|0|1|0
1456799699|370000|1|1|0|0|0|0
1482210906|350000|1|0|0|0|0|0
1442571245|320000|1|0|0|1|0|0
1440405184|350000|1|1|0|0|0|0
1446183331|210000|1|0|0|1|0|0
1439448643|370000|1|0|0|1|0|0
1482896335|110100|1|0|0|0|0|0
1471596918|620000|3|0|0|0|0|0
1508835148|440000|1|0|0|0|0|0
1444645997|620000|3|0|1|0|0|0
1450248729|510000|3|0|0|1|0|0
1456457365|110100|1|0|1|1|0|0
1490337531|530000|3|0|0|0|0|0
1410796426|530000|3|0|0|0|0|0
1438594048|610000|3|0|0|0|0|0
1474881960|650000|3|0|0|0|0|0
1448607069|370000|1|0|0|1|0|1
1441527907|420000|2|0|1|0|0|0
1450276659|440000|1|1|0|0|0|0
1442391501|370000|1|1|0|0|0|0
1435234345|120000|1|0|0|0|0|0
1439891134|360000|2|0|1|0|0|0
1415606164|420000|2|0|0|0|0|0
1450095103|650000|3|0|1|0|1|0
1436860343|140000|2|0|0|0|0|0
1472812805|620000|3|0|0|0|0|0
1461804818|350000|1|0|1|0|0|1
1491537758|370000|1|0|0|0|0|0
1461658687|350000|1|1|0|0|0|0
1479270324|460000|1|0|0|0|0|0
1441514109|350000|1|1|0|0|0|0
1517459326|340000|2|0|0|0|0|0
1441688511|510000|3|0|0|1|0|0
1451889624|330000|1|0|0|0|1|0
1458200493|620000|3|1|0|0|0|0
1446811489|430000|2|1|0|0|0|0
1508315210|420000|2|0|0|0|0|0
1440129745|130000|1|1|0|0|0|0
1436873461|350000|1|0|0|0|0|0
1449025593|520000|3|1|0|0|0|1
1447230450|410000|2|1|0|0|0|0
1459161214|310000|1|0|0|1|0|0
1460024433|370000|1|0|1|0|0|0
1444806335|350000|1|1|0|0|0|0
1452855747|530000|3|0|0|0|0|0
1476009236|230000|2|0|0|0|0|0
1501549033|340000|2|0|0|0|0|0
1417488619|110100|1|0|0|1|0|0
1450325471|360000|2|0|1|0|0|0
1482393528|0|0|0|0|0|0|0
1446096856|310000|1|1|0|0|1|0
1428729568|620000|3|1|0|0|0|0
1522656823|360000|2|0|0|0|0|0
1448520867|330000|1|0|1|0|1|0
1483516687|0|0|0|0|0|0|0
1451460200|370000|1|1|0|0|0|0
1456109559|610000|3|0|1|0|1|0
1437528695|420000|2|0|0|0|1|0
1447832310|370000|1|1|0|0|0|0
1459253331|620000|3|0|0|0|0|0
1512118756|330000|1|0|0|0|0|0
1500971783|410000|2|0|0|0|0|0
1469239444|410000|2|0|0|0|0|0
1467859083|460000|1|0|1|0|1|0
1482752085|130000|1|0|0|0|0|0
1452087227|360000|2|0|0|0|0|0
1433490740|370000|1|1|0|0|0|0
1468236700|530000|3|1|0|0|0|0
1441958739|530000|3|1|0|0|0|0
1451274132|150000|2|0|0|1|0|0
1457614811|440000|1|0|0|0|1|0
1491537464|650000|3|0|0|0|0|0
1458633908|430000|2|1|0|0|0|1
1447219228|340000|2|0|0|1|0|0
1508831647|620000|3|0|0|0|0|0
1436934258|350000|1|1|0|0|0|0
1444399392|450000|1|1|1|0|0|0
1448861932|440000|1|0|0|0|0|0
1438588619|130000|1|1|0|0|0|0
1449801713|360000|2|0|1|0|0|0
1445317772|320000|1|0|0|0|0|0
1470375248|350000|1|0|0|0|0|0
1440055810|440000|1|0|0|0|0|0
1439625273|330000|1|0|0|0|0|0
1460019617|620000|3|0|1|0|0|0
1480990568|120000|1|0|0|0|0|0
1487065837|0|0|0|0|0|0|0
1462267824|330000|1|1|0|0|1|0
1445853641|460000|1|0|1|1|0|0
1426212098|370000|1|0|0|0|0|0
1499137825|320000|1|0|0|0|0|0
1468631105|370000|1|0|0|0|0|0
1451952412|360000|2|0|1|0|0|0
1456385078|340000|2|1|0|0|0|0
1459402116|210000|1|0|1|1|0|0
1497579334|420000|2|0|0|0|0|0
1442394612|370000|1|0|1|0|1|0
1455876678|350000|1|1|0|0|0|0
1501753304|320000|1|0|0|0|0|0
1422195566|110100|1|0|0|0|0|0
1413272190|420000|2|0|0|0|0|0
1445998918|420000|2|0|1|1|0|0
1441002071|620000|3|0|0|0|0|0
1436845922|450000|1|1|0|0|0|0
1430304504|330000|1|1|0|0|0|0
1444814498|620000|3|0|1|0|1|0
1456795439|420000|2|1|0|1|0|0
1435807415|420000|2|0|0|0|0|0
1444799548|110100|1|0|0|0|0|0
1415195209|310000|1|1|0|0|0|0
1418804724|230000|2|0|0|0|0|0
1488793410|330000|1|0|0|0|0|0
1466395268|210000|1|1|0|0|0|0
1463734096|350000|1|1|0|0|0|0
1505698646|510000|3|0|0|0|0|0
1440501997|610000|3|1|0|0|0|0
1460989575|130000|1|0|0|0|0|1
1444984135|350000|1|1|0|0|0|0
1465365014|110100|1|0|1|0|0|0
1435284070|330000|1|1|0|0|0|0
1386996229|520000|3|1|0|0|0|0
1447050248|650000|3|0|1|0|0|0
1466578394|110100|1|0|0|0|0|0
1448353933|110100|1|0|0|1|0|0
1471833135|330000|1|0|0|0|0|0
1418041829|110100|1|0|0|0|0|0
1471948711|500000|3|0|0|0|0|0
1463554931|450000|1|0|0|1|0|0
1466565849|140000|2|0|1|0|0|1
1444466252|530000|3|0|0|0|0|1
1459477150|530000|3|1|1|0|0|0
1477488876|620000|3|0|0|0|0|0
1433498076|110100|1|1|0|0|0|0
1464663085|310000|1|0|0|1|0|1
1431401245|340000|2|0|0|0|0|0
1442819795|610000|3|0|1|0|1|0
1514941583|520000|3|0|0|0|0|0
1434545252|500000|3|1|0|0|0|0
1445644713|320000|1|0|1|1|0|0
1493282584|520000|3|0|0|0|0|0
1427085054|220000|2|0|0|0|0|0
1439217508|430000|2|1|0|0|0|0
1480578312|370000|1|0|0|0|0|0
1442481097|110100|1|0|0|1|0|0
1448343641|450000|1|0|0|0|0|0
1416382634|650000|3|0|0|0|0|0
1442286989|330000|1|0|0|1|0|0
1421233433|350000|1|0|0|0|0|0
1430319941|130000|1|1|0|0|0|0
1472090013|350000|1|0|0|0|0|0
1445427605|370000|1|0|1|0|0|0
1420362976|430000|2|1|0|0|0|0
1452671949|140000|2|0|1|0|1|0
1417346950|440000|1|0|0|0|0|0
1444448668|230000|2|0|1|0|0|0
1450673807|110100|1|0|0|0|1|1
1498210294|430000|2|0|0|0|0|0
1424912291|370000|1|0|0|1|0|0
1497316348|610000|3|0|0|0|0|0
1452143736|530000|3|1|0|0|0|0
1422846456|110100|1|0|0|0|0|0
1426059225|450000|1|0|0|0|0|0
1482974798|0|0|0|0|0|0|0
1463556663|420000|2|1|1|0|0|0
1434355445|370000|1|0|0|0|0|0
1453976342|520000|3|1|0|0|1|0
1498092949|530000|3|0|0|0|0|0
1440143507|440000|1|1|0|0|0|0
1474619872|610000|3|0|0|0|0|0
1462873002|230000|2|0|1|1|0|0
1444359015|150000|2|1|0|0|0|0
1438651720|370000|1|0|0|0|0|0
1450921422|110100|1|0|1|0|0|0
1442479033|530000|3|1|0|0|0|0
1466059082|320000|1|0|1|0|0|0
1452047577|370000|1|1|1|0|0|0
1491981881|110100|1|0|0|0|0|0
1456990763|220000|2|0|0|1|0|0
1499053883|420000|2|0|0|0|0|0
1458704111|620000|3|0|0|1|0|0
1464222435|410000|2|0|1|1|0|0
1452479885|440000|1|1|0|0|1|0
1458623031|110100|1|0|0|0|1|0
1435546268|620000|3|0|0|0|0|0
1447415643|120000|1|0|1|0|0|0
1450325449|110100|1|0|1|0|0|0
1466579706|340000|2|0|0|0|0|0
1435311222|440000|1|0|0|0|0|0
1380431640|510000|3|0|0|0|0|0
1418297128|500000|3|0|0|0|0|0
1440404778|510000|3|1|0|0|0|0
1444443751|210000|1|0|0|1|0|1
1458877633|620000|3|0|0|0|0|0
1448597288|360000|2|0|1|0|0|1
1446540483|110100|1|0|0|1|0|0
1470816601|140000|2|0|0|0|0|0
1466679139|450000|1|0|1|0|0|0
1458744303|210000|1|1|0|0|0|0
1417089320|110100|1|0|0|0|0|0
1438657004|320000|1|0|0|1|0|0
1479433179|230000|2|0|0|0|0|0
1407410285|430000|2|0|0|0|0|0
1445245469|360000|2|0|1|1|0|0
1466761622|110100|1|1|0|0|0|0
1514383081|620000|3|0|0|0|0|0
1473776875|510000|3|0|0|1|0|0
1432799289|130000|1|0|0|0|0|0
1425124218|510000|3|0|0|0|0|0
1453443854|370000|1|0|1|0|1|0
1434717191|650000|3|0|1|0|0|0
1512984411|230000|2|0|0|0|0|0
1484218823|620000|3|0|0|0|0|0
1441970777|350000|1|0|1|0|0|0
1516861739|150000|2|0|0|0|0|0
1480583419|320000|1|0|0|0|0|0
1438677210|140000|2|1|0|0|0|0
1504688824|510000|3|0|0|0|0|0
1506593897|610000|3|0|0|0|0|0
1422000929|110100|1|0|0|0|0|0
1458117615|370000|1|0|0|1|0|0
1459828165|620000|3|0|0|1|0|0
1465906005|530000|3|0|1|0|0|1
1474859411|440000|1|0|0|0|0|0
1432994970|450000|1|0|0|0|0|0
1440743139|330000|1|0|0|1|0|0
1460115343|620000|3|0|0|1|0|0
1468974570|320000|1|0|0|0|0|0
1482224958|0|0|0|0|0|0|0
1442915282|410000|2|1|0|0|0|1
1454307006|610000|3|1|1|0|0|0
1474188737|110100|1|0|0|0|0|0
1410781009|110100|1|0|0|0|0|0
1451978423|150000|2|0|0|1|0|0
1436245527|510000|3|0|0|0|0|0
1458011735|520000|3|1|0|0|1|0
1441874731|440000|1|0|0|0|0|0
1461069220|610000|3|0|1|0|0|0
1512534355|510000|3|0|0|0|0|0
1445848779|350000|1|0|1|0|0|0
1465694440|530000|3|0|1|1|0|0
1479958204|310000|1|0|0|0|0|0
1476178834|510000|3|0|0|0|0|0
1447937724|440000|1|1|0|0|1|0
1458877531|440000|1|1|0|0|0|0
1419420220|350000|1|0|0|0|0|0
1497259774|450000|1|0|0|0|0|0
1447122375|530000|3|0|0|0|1|1
1463493193|110100|1|1|0|1|0|0
1415351343|420000|2|0|0|0|0|0
1430386796|370000|1|0|1|0|0|0
1453796968|370000|1|0|0|0|0|0
1456394488|370000|1|0|0|1|0|0
1432302116|530000|3|1|0|0|0|0
1488424967|640000|3|0|0|0|0|0
1454040933|220000|2|0|1|0|0|1
1489543833|110100|1|0|0|0|0|0
1438136059|110100|1|0|0|0|0|0
1476415673|360000|2|0|0|0|0|0
1449799053|330000|1|1|0|0|0|0
1468829208|110100|1|1|0|0|0|0
1446461714|420000|2|1|0|0|0|0
1484728510|450000|1|0|0|0|0|0
1408611102|110100|1|0|1|0|0|0
1413181231|330000|1|0|0|0|0|0
1445843377|360000|2|0|1|0|1|0
1448270873|360000|2|0|1|0|1|0
1413036880|370000|1|0|0|0|0|0
1450847999|370000|1|1|0|0|0|0
1417431020|110100|1|0|0|0|0|0
1433840352|370000|1|1|0|0|0|0
1444644409|610000|3|0|1|0|0|1
1462941050|150000|2|0|0|0|1|0
1504707537|520000|3|0|0|0|0|0
1492608454|650000|3|0|0|0|0|0
1442386633|500000|3|0|0|0|0|1
1421233502|350000|1|0|0|0|0|0
1488439225|450000|1|0|0|0|0|0
1464566724|110100|1|0|0|0|0|0
1431337678|120000|1|0|0|0|0|0
1446793488|450000|1|1|0|0|0|0
1434154415|130000|1|0|0|0|0|0
1445395084|500000|3|0|0|1|1|0
1493346327|620000|3|0|0|0|0|0
1409241233|120000|1|0|0|0|0|0
1444897760|430000|2|0|1|0|1|0
1494214726|430000|2|0|0|0|0|0
1427266873|150000|2|0|0|0|0|0
1415094436|530000|3|1|0|0|0|0
1435305767|210000|1|1|0|0|0|0
1458802827|510000|3|0|0|1|1|0
1430725454|440000|1|0|0|0|0|0
1517299800|430000|2|0|0|0|0|0
1505702789|370000|1|0|0|0|0|0
1441527612|370000|1|0|1|0|0|0
1465229303|310000|1|1|0|0|0|0
1441676681|350000|1|0|1|0|0|0
1440108294|450000|1|0|0|0|0|0
1426843322|440000|1|0|0|0|0|0
1500887778|620000|3|0|0|0|0|0
1417772566|530000|3|1|0|0|0|0
